id,headline,country,label,headline_clean,sentiment_polarity,sentiment_score,emotional_intensity,subjectivity,framing_score,loaded_language,loaded_binary,framing_norm,bias_index
11,"Salman Khan’s co-star’s mother grew up poor, mother worked as a maid, today, his film was shortlisted for Oscar nomination",India,Human-interest,salman khans costars mother grew up poor mother worked as a maid today his film was shortlisted for oscar nomination,negative,-0.4767,0.4767,0.6,0,no,0,0.0,0.376845
12,Orry reveals reason behind feud with Sara Ali Khan: ‘Pretending to be friends with Sara means…’,India,Human-interest,orry reveals reason behind feud with sara ali khan pretending to be friends with sara means,positive,0.2732,0.2732,0.7,1,yes,1,0.499999750000125,0.5406199500000249
13,' The Kerala Story 2: Goes Beyond! Motion poster out! Audience awaits for this Vipul Amrutlal Shah film,India,Promotional,the kerala story 2 goes beyond motion poster out audience awaits for this vipul amrutlal shah film,positive,0.0772,0.0772,0.0,0,no,0,0.0,0.02702
14,Radisson Hotel Group taps into India’s Rs 1.34 trillion fast-evolving spiritual travel market with four new launches,India,Promotional,radisson hotel group taps into indias rs 134 trillion fastevolving spiritual travel market with four new launches,neutral,0.0,0.0,0.2939393939393939,0,no,0,0.0,0.10287878787878786
15,"India vs New Zealand T20 Live Streaming: When and where to watch Ind vs NZ 4th T20I online, match time, venue, squads",India,,india vs new zealand t20 live streaming when and where to watch ind vs nz 4th t20i online match time venue squads,neutral,0.0,0.0,0.4772727272727273,0,no,0,0.0,0.16704545454545455
16,"KTM 390 Adventure R launched: Price, specs, features & more",India,,ktm 390 adventure r launched price specs features more,positive,0.4215,0.4215,0.5,0,no,0,0.0,0.32252499999999995
17,UGC equity regulations 2026 decoded: How students can file a complaint and more,India,,ugc equity regulations 2026 decoded how students can file a complaint and more,negative,-0.296,0.296,0.35,0,no,0,0.0,0.22609999999999997
18,Bharti Singh announces second son’s name; shares glimpses from ceremony,India,,bharti singh announces second sons name shares glimpses from ceremony,positive,0.296,0.296,0.0,0,no,0,0.0,0.10359999999999998
19,"Quote of the day from Think and Grow Rich author Napoleon Hill: 'Whatever the mind can conceive and believe, it can achieve'",India,,quote of the day from think and grow rich author napoleon hill whatever the mind can conceive and believe it can achieve,positive,0.5574,0.5574,0.75,0,no,0,0.0,0.45758999999999994
20,"Ajit Pawar's funeral set for Thursday; Modi, Shah likely to attend",India,,ajit pawars funeral set for thursday modi shah likely to attend,negative,-0.3612,0.3612,1.0,0,no,0,0.0,0.47641999999999995
21,What is the new Aadhaar app and what are its key features?,India,,what is the new aadhaar app and what are its key features,neutral,0.0,0.0,0.7272727272727273,0,no,0,0.0,0.2545454545454545
22,"IND vs NZ Live: With series in pocket, India target more fireworks vs New Zealand",India,,ind vs nz live with series in pocket india target more fireworks vs new zealand,neutral,0.0,0.0,0.4848484848484848,0,no,0,0.0,0.16969696969696968
23,Pine Labs Q3 Results: Co swings to black with cons PAT of Rs 42 crore versus YoY loss; revenue rises 24%,India,,pine labs q3 results co swings to black with cons pat of rs 42 crore versus yoy loss revenue rises 24,negative,-0.3182,0.3182,0.4333333333333333,0,no,0,0.0,0.26303666666666664
24,India’s industrial output growth hits over two-year high of 7.8% in December,India,,indias industrial output growth hits over twoyear high of 78 in december,positive,0.3818,0.3818,0.5399999999999999,0,no,0,0.0,0.32263
25,"Amazon cuts 16,000 jobs globally in broader restructuring",India,,amazon cuts 16000 jobs globally in broader restructuring,negative,-0.128,0.128,0.0,0,no,0,0.0,0.0448
26,Quote of the day by famous psychologist Carl Jung: 'Your vision will become clear only when you can look into your own heart',India,,quote of the day by famous psychologist carl jung your vision will become clear only when you can look into your own heart,positive,0.8316,0.8316,0.8458333333333333,0,no,0,0.0,0.5871016666666666
27,"Rupee lags Asian peers as NDF maturities, month-end dollar bids pinch",India,,rupee lags asian peers as ndf maturities monthend dollar bids pinch,negative,-0.3612,0.3612,0.0,0,no,0,0.0,0.12642
28,How Bajaj Finserv doctor loans can support dental clinic setup and growth,India,,how bajaj finserv doctor loans can support dental clinic setup and growth,positive,0.6486,0.6486,0.0,0,no,0,0.0,0.22700999999999996
29,"'Flying to Baramati, will talk tomorrow': Father of attendant Pinky Mali on Ajit Pawar plane recalls her last words",India,,flying to baramati will talk tomorrow father of attendant pinky mali on ajit pawar plane recalls her last words,neutral,0.0,0.0,0.2333333333333333,0,no,0,0.0,0.08166666666666665
30,This ChatGPT prompt helped a 27-year-old single woman find out her late-40s finance professional date is married and has kids,India,,this chatgpt prompt helped a 27yearold single woman find out her late40s finance professional date is married and has kids,neutral,0.0,0.0,0.1880952380952381,0,no,0,0.0,0.06583333333333333
31,"LNG still too pricey for Indian demand boost, top importer says",India,,lng still too pricey for indian demand boost top importer says,positive,0.4588,0.4588,0.5,0,no,0,0.0,0.33558
32,"BHP dethrones Commonwealth Bank as Australia’s largest stock, widens market capitalisation gap to nearly $3 billion; what it shows about the Australian sharemarket",India,,bhp dethrones commonwealth bank as australias largest stock widens market capitalisation gap to nearly 3 billion what it shows about the australian sharemarket,neutral,0.0,0.0,0.2,0,no,0,0.0,0.06999999999999999
33,Being a night owl may not be great for your heart; What can you do something about it?,India,,being a night owl may not be great for your heart what can you do something about it,positive,0.2278,0.2278,0.75,0,no,0,0.0,0.3422299999999999
34,"UP Police Constable registration window for over 32,000 vacancies will close soon: Check direct link to register here",India,,up police constable registration window for over 32000 vacancies will close soon check direct link to register here,neutral,0.0,0.0,0.4,0,no,0,0.0,0.13999999999999999
35,Magh Mela bathing row: Swami Avimukteshwaranand leaves fair ground 'with heavy heart',India,,magh mela bathing row swami avimukteshwaranand leaves fair ground with heavy heart,positive,0.7579,0.7579,0.7,0,no,0,0.0,0.510265
36,"BJP's arrogance broke tradition, it's extremely ominous: Akhilesh Yadav after seer leaves Magh Mela",India,,bjps arrogance broke tradition its extremely ominous akhilesh yadav after seer leaves magh mela,negative,-0.8357,0.8357,1.0,0,no,0,0.0,0.642495
37,"Chandra Grahan 2026: First Lunar Eclipse of the Year, Check Date, Time and Visibility in India",India,,chandra grahan 2026 first lunar eclipse of the year check date time and visibility in india,neutral,0.0,0.0,0.3333333333333333,0,no,0,0.0,0.11666666666666665
38,Pakistan cricket gets a blow just ahead of T20 World Cup: Australia TV opts out of bilateral T20Is series telecast due to 'low interest',India,,pakistan cricket gets a blow just ahead of t20 world cup australia tv opts out of bilateral t20is series telecast due to low interest,positive,0.2263,0.2263,0.3375,0,no,0,0.0,0.19733
39,"Shreya Ghoshal says ""never call this the end of an era"" after Arijit Singh announces playback exit",India,,shreya ghoshal says never call this the end of an era after arijit singh announces playback exit,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
40,New research shows singles want more mindful dating in 2026,India,,new research shows singles want more mindful dating in 2026,positive,0.0772,0.0772,0.4772727272727273,0,no,0,0.0,0.19406545454545454
41,India-EU trade pact could boost overseas expansion of Indian 2W firms: Industry,India,,indiaeu trade pact could boost overseas expansion of indian 2w firms industry,positive,0.4019,0.4019,0.0,0,no,0,0.0,0.14066499999999998
42,Shruti Haasan birthday special: 7 OTT films,India,,shruti haasan birthday special 7 ott films,positive,0.4019,0.4019,0.5714285714285714,0,no,0,0.0,0.340665
43,"Believe it or not: The cat climbs, the copycats try and fail in Taipei",India,,believe it or not the cat climbs the copycats try and fail in taipei,negative,-0.5423,0.5423,0.2999999999999999,0,no,0,0.0,0.294805
44,"BH series vehicle registration in India: How to apply, key benefits, and seamless interstate transfers for frequent movers",India,,bh series vehicle registration in india how to apply key benefits and seamless interstate transfers for frequent movers,positive,0.3818,0.3818,0.4666666666666667,0,no,0,0.0,0.2969633333333333
45,Union Budget 2026: EY urges for defence boost & 4% fiscal deficit aim for FY27,India,,union budget 2026 ey urges for defence boost 4 fiscal deficit aim for fy27,positive,0.1027,0.1027,0.0,0,no,0,0.0,0.035945
46,Believe it or not: New Yorkers were dashing through the snow storm,India,,believe it or not new yorkers were dashing through the snow storm,neutral,0.0,0.0,0.4545454545454545,0,no,0,0.0,0.15909090909090906
47,Data-led features reshape how women plan stays and bus journeys,India,,dataled features reshape how women plan stays and bus journeys,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
48,Elon Musk planning world's largest IPO: What investors need to know about the once-in-a-generation SpaceX listing,India,,elon musk planning worlds largest ipo what investors need to know about the onceinageneration spacex listing,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
49,"Who are Karan Wahi and Jennifer Winget, and what is the wedding rumour about them?",India,,who are karan wahi and jennifer winget and what is the wedding rumour about them,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
50,Philip Glass cancels Kennedy Center symphony premiere in protest of Trump's leadership,India,,philip glass cancels kennedy center symphony premiere in protest of trumps leadership,negative,-0.4404,0.4404,0.1,0,no,0,0.0,0.18914
51,Why is Nipah virus so dangerous? Here's what happens when the ‘highly fatal’ infection enters human body and attacks the brain,India,,why is nipah virus so dangerous heres what happens when the highly fatal infection enters human body and attacks the brain,negative,-0.893,0.893,0.5133333333333333,0,no,0,0.0,0.49221666666666664
52,Bigg Boss Tamil 9: Evicted contestant Gana Vinoth opens up on his journey; ‘Sandy Master scolded me for taking the money box’,India,,bigg boss tamil 9 evicted contestant gana vinoth opens up on his journey sandy master scolded me for taking the money box,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
53,"Believe it ot not: You can eat junk, stay up to watch TV and live upto 101",India,,believe it ot not you can eat junk stay up to watch tv and live upto 101,neutral,0.0,0.0,0.5,0,no,0,0.0,0.175
54,India-EU FTA opens pathways for Indian manufacturers to compete globally: TVS Motor,India,,indiaeu fta opens pathways for indian manufacturers to compete globally tvs motor,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
55,"Aadhaar app gets new features: Mobile number & address update; instant UID verification, up to 5 profiles and more",India,,aadhaar app gets new features mobile number address update instant uid verification up to 5 profiles and more,positive,0.0772,0.0772,0.5404040404040403,0,no,0,0.0,0.2161614141414141
56,"Went on duty with Ajit Pawar, never returned: Attendant Pinky Mali among Baramati plane crash victims",India,,went on duty with ajit pawar never returned attendant pinky mali among baramati plane crash victims,negative,-0.6124,0.6124,0.4,0,no,0,0.0,0.35434
57,Zilla Parishad polls: Congress candidate in Latur withdraws amid abduction allegations,India,,zilla parishad polls congress candidate in latur withdraws amid abduction allegations,negative,-0.5859,0.5859,0.0,0,no,0,0.0,0.20506499999999997
58,SC flags ‘new type of fraud’ in minority reservation claims by upper-caste converts in Haryana,India,,sc flags new type of fraud in minority reservation claims by uppercaste converts in haryana,negative,-0.5859,0.5859,0.4545454545454545,0,no,0,0.0,0.364155909090909
59,"Europe must rapidly build defence independence, EU Defence Commissioner Andrius Kubilius says",India,,europe must rapidly build defence independence eu defence commissioner andrius kubilius says,positive,0.2023,0.2023,0.0,0,no,0,0.0,0.07080499999999999
60,NTPC Renewable to begin 130.47 MW commercial supply from Khavda-I solar project from midnight,India,,ntpc renewable to begin 13047 mw commercial supply from khavdai solar project from midnight,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
61,What is the 2% rule in Real Estate and why it matters?,India,,what is the 2 rule in real estate and why it matters,neutral,0.0258,0.0258,0.3,0,no,0,0.0,0.11402999999999999
62,Ind vs NZ 4th T20 Playing 11: Will Bumrah be rested as India eyes 4-0 lead in Vizag?,India,,ind vs nz 4th t20 playing 11 will bumrah be rested as india eyes 40 lead in vizag,positive,0.2023,0.2023,0.0,0,no,0,0.0,0.07080499999999999
63,"Regional jets costly, single-aisle planes key for India: Boeing",India,,regional jets costly singleaisle planes key for india boeing,negative,-0.1027,0.1027,1.0,0,no,0,0.0,0.385945
64,Lalit Prabhakar: I don’t think plays can ever die; the experience of a live audience is different - exclusive!,India,,lalit prabhakar i dont think plays can ever die the experience of a live audience is different exclusive,negative,-0.6298,0.6298,0.55,0,no,0,0.0,0.41293
65,Believe it or not: Ajith fans swap milk for cola,India,,believe it or not ajith fans swap milk for cola,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
66,Sona Mohapatra calls Arijit Singh's decision to step away from playback 'disruptive in the best way',India,,sona mohapatra calls arijit singhs decision to step away from playback disruptive in the best way,positive,0.4404,0.4404,0.3,0,no,0,0.0,0.25914
67,Karan Wahi breaks silence on wedding rumours with Dill Mill Gayye co-star Jennifer Winget,India,,karan wahi breaks silence on wedding rumours with dill mill gayye costar jennifer winget,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
68,Indian Army to procure US firm’s autonomous V-BAT drones,India,,indian army to procure us firms autonomous vbat drones,neutral,0.0,0.0,0.7,0,no,0,0.0,0.24499999999999997
69,“Understand. Don’t Memorise”: Why Nobel-winning physicist Richard Feynman’s advice works better than cramming for exams,India,,understand dont memorise why nobelwinning physicist richard feynmans advice works better than cramming for exams,positive,0.4404,0.4404,0.5,0,no,0,0.0,0.32914
70,Believe it or not: Feminist AI GF breaks up with conservative BF,India,,believe it or not feminist ai gf breaks up with conservative bf,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
71,Kubbra Sait and Ekta Jain grace Rejua Energy Center opening,India,,kubbra sait and ekta jain grace rejua energy center opening,positive,0.5994,0.5994,0.1,0,no,0,0.0,0.24479
72,Top 5 OTT releases this week: From ‘Dhurandhar’ to ‘Bridgerton Season 4’​,India,,top 5 ott releases this week from dhurandhar to bridgerton season 4,positive,0.2023,0.2023,0.5,0,no,0,0.0,0.245805
73,CUET UG 2026 Update: NTA issues important warning for students and parents ahead of registration last date,India,,cuet ug 2026 update nta issues important warning for students and parents ahead of registration last date,negative,-0.1531,0.1531,0.5333333333333333,0,no,0,0.0,0.24025166666666664
74,"Yamaha to overhaul India ops; to merge corporate functions, production under single entity",India,,yamaha to overhaul india ops to merge corporate functions production under single entity,neutral,0.0,0.0,0.1071428571428571,0,no,0,0.0,0.03749999999999998
75,Winter rains trigger country's first parametric weather insurance claim,India,,winter rains trigger countrys first parametric weather insurance claim,neutral,0.0,0.0,0.3333333333333333,0,no,0,0.0,0.11666666666666665
76,"Sunteck Realty Q3 net profit Rs 57 cr, up 34% on year",India,,sunteck realty q3 net profit rs 57 cr up 34 on year,positive,0.4404,0.4404,0.0,0,no,0,0.0,0.15414
77,Adani Power boosts electricity supply to Bangladesh despite souring diplomatic ties,India,,adani power boosts electricity supply to bangladesh despite souring diplomatic ties,positive,0.3182,0.3182,0.0,0,no,0,0.0,0.11136999999999998
78,Believe it or not: Sialkot gets a slice of dupe dough,India,,believe it or not sialkot gets a slice of dupe dough,negative,-0.3612,0.3612,0.0,0,no,0,0.0,0.12642
79,SBI Life Q3 Results: Profit rises 5% YoY to Rs 577 crore; net premium income jumps 22%,India,,sbi life q3 results profit rises 5 yoy to rs 577 crore net premium income jumps 22,positive,0.4404,0.4404,0.0,0,no,0,0.0,0.15414
80,"Chip equipment maker ASML cuts nearly 4% of staff while trimming 1,700 jobs",India,,chip equipment maker asml cuts nearly 4 of staff while trimming 1700 jobs,negative,-0.296,0.296,0.4,0,no,0,0.0,0.24359999999999998
81,"BEL shares rally 10%, hit 52-week high as Q3 net profit rises 21% to Rs 1,580 crore",India,,bel shares rally 10 hit 52week high as q3 net profit rises 21 to rs 1580 crore,positive,0.6249,0.6249,0.2699999999999999,0,no,0,0.0,0.31321499999999997
82,"IndiGo launches 'UpFront', allows passengers to choose front row seats with extra legroom & more",India,,indigo launches upfront allows passengers to choose front row seats with extra legroom more,neutral,0.0,0.0,0.3,0,no,0,0.0,0.105
83,"Ajit Pawar death: ‘Heart heavy with sorrow,’ says Naidu as probe begins",India,,ajit pawar death heart heavy with sorrow says naidu as probe begins,negative,-0.4767,0.4767,0.5,0,no,0,0.0,0.34184499999999995
84,Ajit Pawar: From raw apprentice to the 'dada' of Maharashtra politics,India,,ajit pawar from raw apprentice to the dada of maharashtra politics,neutral,0.0,0.0,0.4615384615384615,0,no,0,0.0,0.16153846153846152
85,"American-Canadian rock legend Neil Young's unusual protest against Donald Trump: For people of Greenland, free access to his music catalogue",India,,americancanadian rock legend neil youngs unusual protest against donald trump for people of greenland free access to his music catalogue,positive,0.3182,0.3182,0.9,0,no,0,0.0,0.42636999999999997
86,"Upcoming Royal Enfield Continental GT 750 spied: What to expect, details",India,,upcoming royal enfield continental gt 750 spied what to expect details,positive,0.2732,0.2732,0.0,0,no,0,0.0,0.09562
87,Believe it or not: Being FLOTUS for a day is hard,India,,believe it or not being flotus for a day is hard,negative,-0.1027,0.1027,0.5416666666666666,0,no,0,0.0,0.2255283333333333
88,Making your bed every morning can change your life according to astrology,India,,making your bed every morning can change your life according to astrology,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
89,"ACC Q3 Results: Cons profit plunges 63% YoY to Rs 404 crore, but revenue rises 22%",India,,acc q3 results cons profit plunges 63 yoy to rs 404 crore but revenue rises 22,positive,0.2382,0.2382,0.0,0,no,0,0.0,0.08337
90,"Budget 2026: Sthiti or Srishti? India’s innovation wallet must fund creation, not just continuity",India,,budget 2026 sthiti or srishti indias innovation wallet must fund creation not just continuity,positive,0.5719,0.5719,0.0,0,no,0,0.0,0.20016499999999998
91,Budget 2026 & the fours of growth: Ways the govt can support India Inc,India,,budget 2026 the fours of growth ways the govt can support india inc,positive,0.6486,0.6486,0.0,0,no,0,0.0,0.22700999999999996
92,"Quote of the day: Anand Mahindra’s father’s advice, linked to Roman Emperor Augustus, ‘Make haste slowly’",India,,quote of the day anand mahindras fathers advice linked to roman emperor augustus make haste slowly,neutral,0.0,0.0,0.3999999999999999,0,no,0,0.0,0.13999999999999996
93,Adani Electricity Mumbai secures sovereign-grade rating after years of deleveraging,India,,adani electricity mumbai secures sovereigngrade rating after years of deleveraging,positive,0.3182,0.3182,0.0,0,no,0,0.0,0.11136999999999998
94,"Behind the Mask to world premiere at Santa Barbara International Film Festival, with its cinematography taking centre stage",India,,behind the mask to world premiere at santa barbara international film festival with its cinematography taking centre stage,positive,0.4939,0.4939,0.35,0,no,0,0.0,0.295365
95,European shares pause after two-day rally; ASML bucks weakness,India,,european shares pause after twoday rally asml bucks weakness,negative,-0.1531,0.1531,0.0,0,no,0,0.0,0.053585
96,Delhi HC seeks CBI response on Karti Chidambaram’s plea in Chinese visa scam case,India,,delhi hc seeks cbi response on karti chidambarams plea in chinese visa scam case,negative,-0.5719,0.5719,0.0,0,no,0,0.0,0.20016499999999998
97,"Archbishop mourns deputy CM Ajit Pawar's death, recalls his leadership and vision",India,,archbishop mourns deputy cm ajit pawars death recalls his leadership and vision,negative,-0.743,0.743,0.0,0,no,0,0.0,0.26005
98,Japan's Nikkei escapes losses as tech share gains offset drag from strong yen,India,,japans nikkei escapes losses as tech share gains offset drag from strong yen,positive,0.5859,0.5859,0.4020833333333333,0,no,0,0.0,0.3457941666666666
99,MeToo flagbearer Tanushree Dutta REACTS to Chiranjeevi’s casting couch remark; 'Really far removed from the ground reality',India,,metoo flagbearer tanushree dutta reacts to chiranjeevis casting couch remark really far removed from the ground reality,neutral,0.0,0.0,1.0,0,no,0,0.0,0.35
100,"No raise, no promotion: Burned-out employee seeks help — advice becomes a lesson for many",India,,no raise no promotion burnedout employee seeks help advice becomes a lesson for many,positive,0.3374,0.3374,0.5,0,no,0,0.0,0.29308999999999996
101,"Tell Me Lies Season 3 Episode 5 release time, schedule, what to expect and how to watch on Hulu and Disney+: Global streaming timings for all regions",India,,tell me lies season 3 episode 5 release time schedule what to expect and how to watch on hulu and disney global streaming timings for all regions,negative,-0.4215,0.4215,0.0,0,no,0,0.0,0.147525
102,"Coldest Republic Day in 5 years, rain likely today",India,,coldest republic day in 5 years rain likely today,neutral,0.0,0.0,1.0,0,no,0,0.0,0.35
103,"Republic Day sales see fastest growth in five years on GST cuts, wedding demand",India,,republic day sales see fastest growth in five years on gst cuts wedding demand,neutral,-0.0258,0.0258,0.0,0,no,0,0.0,0.00903
104,Greg Bovino and ICE agents to leave Minnesota amid backlash over Alex Pretti shooting - here's what happened,India,,greg bovino and ice agents to leave minnesota amid backlash over alex pretti shooting heres what happened,negative,-0.0516,0.0516,0.0,1,yes,1,0.499999750000125,0.218059950000025
105,"Aggressive low bids put NHAI in a fix, trend may impact quality",India,,aggressive low bids put nhai in a fix trend may impact quality,negative,-0.4019,0.4019,0.3,0,no,0,0.0,0.24566499999999997
106,Congress says Modi government not serious about caste count in Census 2027,India,,congress says modi government not serious about caste count in census 2027,positive,0.0572,0.0572,0.6666666666666666,0,no,0,0.0,0.2533533333333333
107,Congress brass may meet Shashi Tharoor to settle issues,India,,congress brass may meet shashi tharoor to settle issues,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
108,"Budget is not a wish list: Constraints that shape taxes, borrowings, wallets",India,,budget is not a wish list constraints that shape taxes borrowings wallets,negative,-0.3089,0.3089,0.0,0,no,0,0.0,0.108115
109,From charts to chatbots: How retail investors are deciding stocks,India,,from charts to chatbots how retail investors are deciding stocks,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
110,Jessica Daugirdas dies at 35 after sharing her three-year colorectal cancer fight with followers,India,,jessica daugirdas dies at 35 after sharing her threeyear colorectal cancer fight with followers,negative,-0.6369,0.6369,0.0,0,no,0,0.0,0.222915
111,"S&P 500, Dow, Nasdaq surged today as Apple, Meta, and Microsoft led gains, while Trump’s Canada tariff threat pushed gold to hit record high",India,,sp 500 dow nasdaq surged today as apple meta and microsoft led gains while trumps canada tariff threat pushed gold to hit record high,negative,-0.25,0.25,0.5399999999999999,0,no,0,0.0,0.27649999999999997
112,"Fire at Kolkata warehouse: 7 dead, 21 missing",India,,fire at kolkata warehouse 7 dead 21 missing,negative,-0.836,0.836,0.225,0,no,0,0.0,0.37134999999999996
113,"Why Finland's AI moment is an opportunity for Indian businesses, students",India,,why finlands ai moment is an opportunity for indian businesses students,positive,0.4215,0.4215,0.0,0,no,0,0.0,0.147525
114,"Death sentences for former Dhaka top cop, 2 others",India,,death sentences for former dhaka top cop 2 others,negative,-0.4404,0.4404,0.25,0,no,0,0.0,0.24164
115,Booz Allen stock fell after Treasury cut contracts over IRS tax leak case — here’s what happened to Trump’s and other wealthy Americans’ tax data,India,,booz allen stock fell after treasury cut contracts over irs tax leak case heres what happened to trumps and other wealthy americans tax data,negative,-0.0516,0.0516,0.6875,0,no,0,0.0,0.258685
116,PVR INOX to sell snacks business to Marico,India,,pvr inox to sell snacks business to marico,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
117,Axis Bank net profit up 3% in Oct-Dec on strong loan growth,India,,axis bank net profit up 3 in octdec on strong loan growth,positive,0.8316,0.8316,0.3666666666666666,0,no,0,0.0,0.4193933333333333
118,YouTuber WhistlinDiesel faces another tax arrest after previous 2025 case,India,,youtuber whistlindiesel faces another tax arrest after previous 2025 case,negative,-0.34,0.34,0.0833333333333333,0,no,0,0.0,0.14816666666666664
119,'Dollar assets gain favour among India's wealthy as Rupee depreciates',India,,dollar assets gain favour among indias wealthy as rupee depreciates,positive,0.8591,0.8591,1.0,0,no,0,0.0,0.650685
120,"Weight of mfg & electricity set to rise in new IIP series, mining to fall",India,,weight of mfg electricity set to rise in new iip series mining to fall,neutral,0.0,0.0,0.4545454545454545,0,no,0,0.0,0.15909090909090906
121,Is Crunchyroll down today? Thousands of anime fans frustrated as Crunchyroll server down due to major outage,India,,is crunchyroll down today thousands of anime fans frustrated as crunchyroll server down due to major outage,negative,-0.5267,0.5267,0.3305555555555556,0,no,0,0.0,0.3000394444444444
122,"In a first, gold breaches $5k/Oz, silver $110/Oz",India,,in a first gold breaches 5koz silver 110oz,neutral,0.0,0.0,0.3333333333333333,0,no,0,0.0,0.11666666666666665
123,Government gets proposals to push divestment amid weak show,India,,government gets proposals to push divestment amid weak show,negative,-0.4404,0.4404,0.625,0,no,0,0.0,0.37289
124,Legendary reggae drummer Sly Dunbar of Sly & Robbie dies at 73,India,,legendary reggae drummer sly dunbar of sly robbie dies at 73,neutral,0.0,0.0,1.0,0,no,0,0.0,0.35
125,'Attacking H1-B was the best thing...': Canadian-Indian entrepreneur on big tech layoffs in US,India,,attacking h1b was the best thing canadianindian entrepreneur on big tech layoffs in us,positive,0.296,0.296,0.2,0,no,0,0.0,0.17359999999999998
126,"MrBeast criticizes Netflix pay, would give Alex Honnold over $500K for Taipei 101 stunt",India,,mrbeast criticizes netflix pay would give alex honnold over 500k for taipei 101 stunt,negative,-0.4215,0.4215,0.0,0,no,0,0.0,0.147525
127,Word of the day: Hypethral,India,,word of the day hypethral,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
128,Three engineers killed after car rams truck near Tumakuru,India,,three engineers killed after car rams truck near tumakuru,negative,-0.6705,0.6705,0.2,0,no,0,0.0,0.304675
129,Superfast train rams reversing bus in Bengaluru; conductor injured,India,,superfast train rams reversing bus in bengaluru conductor injured,negative,-0.4019,0.4019,0.0,0,no,0,0.0,0.14066499999999998
130,"In Republic Day messages, Trump hails historic bond, Xi talks of dragon-elephant tango",India,,in republic day messages trump hails historic bond xi talks of dragonelephant tango,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
131,"Hot desking, crowded, no privacy, and bad WiFi - employee vents ire on RTO, sparks big debate",India,,hot desking crowded no privacy and bad wifi employee vents ire on rto sparks big debate,negative,-0.6908,0.6908,0.5388888888888889,1,yes,1,0.499999750000125,0.6303910611111361
132,Absconding Congman arrested in Karnataka,India,,absconding congman arrested in karnataka,negative,-0.4767,0.4767,0.0,0,no,0,0.0,0.166845
